CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,RECIPIENT PROFILE URLS,DATE,SUBJECT,CONTENT,FOLDER
2-Mjk0MjBjNjAtYzc0Zi00ZWFhLTg4YWQtYzAwNWVkNWNmZDg5XzEwMA==,,,,,,2026-05-04 12:51:44 UTC,,"<h2><b>Job match is medium</b> - <a href='https://www.linkedin.com/jobs/view/4400498220'>Yazılım Grup Müdürü</a></h2><p>Your profile and resume match several of the required qualifications. After reviewing your information and application history on LinkedIn, you may want to refresh your profile or explore jobs that better align with your experience.</p><p> </p><p><b>Matches 4 of the 7 required qualifications:</b></p><p>✓ Bilgisayar Mühendisliği, Yazılım Mühendisliği veya ilgili bölümlerden mezun</p><p>✓ En az 8 yıl yazılım geliştirme deneyimi, en az 3-5 yıl ekip yönetimi deneyimi</p><p>✓ Agile/Scrum metodolojilerine hakim ve aktif uygulamış</p><p>✓ Yazılım mimarisi ve modern geliştirme pratiklerine hakim</p><p>? Orta/large ölçekli (20+ kiş) yazılım ekiplerini yönetmiş (No explicit mention of managing 20+ people)</p><p>? Jira (veya benzeri araçlar) üzerinde süreç kurgulama ve yönetme deneyimi olan (No mention of Jira or similar tools)</p><p>? Çoklu proje ortamında teslimat yönetimi yapmış</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Problem çözme, önceliklendirme ve karar alma becerileri güçlü</p><p>• İletişim ve koordinasyon becerileri yüksek</p><p>• İstanbul'da ikamet eden</p>",INBOX
2-Mjk0MjBjNjAtYzc0Zi00ZWFhLTg4YWQtYzAwNWVkNWNmZDg5XzEwMA==,,,,,,2026-05-04 12:51:44 UTC,,Show match details,INBOX
2-Mjk0MjBjNjAtYzc0Zi00ZWFhLTg4YWQtYzAwNWVkNWNmZDg5XzEwMA==,,,,,,2026-05-04 12:50:32 UTC,, ,INBOX
2-Mjk0MjBjNjAtYzc0Zi00ZWFhLTg4YWQtYzAwNWVkNWNmZDg5XzEwMA==,,,,,,2026-05-04 12:50:32 UTC,,Show match details,INBOX
2-ZjRiOGVkODEtNzA1NC00OTM3LTkyOTAtYzBjYWQ0MmMyMjRjXzEwMA==,,,,,,2026-05-04 12:50:13 UTC,,"<h2><b>Job match is high</b> - <a href='https://www.linkedin.com/jobs/view/4388409099'>Senior Full Stack Software Designer</a></h2><p>Your profile and resume seem to match well with the required qualifications. Based on my review of your information and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 8 of the 10 required qualifications:</b></p><p>✓ Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent professional experience)</p><p>✓ 5+ years of professional full-stack software development experience</p><p>✓ Strong proficiency in Python and at least two of the following programming languages: C++, C#, Java, or Go</p><p>✓ Experience with Angular (or similar modern JavaScript/TypeScript frameworks) for building dynamic frontend applications</p><p>✓ Proven experience developing and maintaining applications in a microservices architecture</p><p>✓ Practical knowledge of containerization (Docker) and orchestration with Kubernetes, specifically RKE2 or similar distributions</p><p>✓ Familiarity with RESTful APIs, gRPC, message queues (e.g., Kafka, Artemis), and relational/no-SQL databases</p><p>✓ Experience with version control (Git), CI/CD tools (e.g., Jenkins, GitLab CI), and cloud platforms (e.g., Azure)</p><p>? Experience with Robot Framework for test automation (No mention of Robot Framework experience)</p><p>? Knowledge of infrastructure-as-code tools (e.g., Terraform, Helm) and monitoring solutions (e.g., Prometheus, Grafana) (No mention of these tools)</p>",INBOX
2-ZjRiOGVkODEtNzA1NC00OTM3LTkyOTAtYzBjYWQ0MmMyMjRjXzEwMA==,,,,,,2026-05-04 12:50:13 UTC,,Show match details,INBOX
2-ZjRiOGVkODEtNzA1NC00OTM3LTkyOTAtYzBjYWQ0MmMyMjRjXzEwMA==,,,,,,2026-05-04 12:49:37 UTC,, ,INBOX
2-ZjRiOGVkODEtNzA1NC00OTM3LTkyOTAtYzBjYWQ0MmMyMjRjXzEwMA==,,,,,,2026-05-04 12:49:37 UTC,,Show match details,INBOX
2-MGM1M2U5ZDctMDY4My00ZWE5LTk1ZGQtN2M3N2RjYTVmM2QyXzEwMA==,,,,,,2026-05-04 12:41:07 UTC,,"<h2><b>Job match is high</b> - <a href='https://www.linkedin.com/jobs/view/4406543695'>Dotnet Developer</a></h2><p>Your profile and resume seem to match well with the required qualifications. Based on my review of your information and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 6 of the 6 required qualifications:</b></p><p>✓ En az 3 yıl yazılım geliştirme deneyimi</p><p>✓ Ekosistem: C#, .NET Core / .NET 6 +</p><p>✓ API Geliştirme: RESTful servisler geliştirme ve entegrasyon</p><p>✓ Veritabanı: PostgreSQL, MSSQL veya benzeri ilişkisel veritabanlarında güçlü bilgi</p><p>✓ Mimari Yaklaşım: Katmanlı mimari, microservices ve clean code prensiplerine hakimiyet</p><p>✓ Dil: İngilizce- iletişim kurabilecek seviyede</p>",INBOX
2-MGM1M2U5ZDctMDY4My00ZWE5LTk1ZGQtN2M3N2RjYTVmM2QyXzEwMA==,,,,,,2026-05-04 12:41:07 UTC,,Show match details,INBOX
2-ZjhhMTZhMDktYTdhMi00Nzg2LWJkNzEtMGNmYWU4MDA2NTdmXzEwMA==,,,,,,2026-05-04 12:40:38 UTC,,"<h2><b>You'd be a top applicant</b> - <a href='https://www.linkedin.com/jobs/view/4403474476'>Solution Assessment Specialist - Turkish - Relocation to Greece</a></h2><p>Your profile and resume appear to match several of the job's qualifications well. Based on my review of your information and similar applications on LinkedIn, you could have a higher chance of hearing back if you apply.</p><p> </p><p><b>Matches 1 of the 2 required qualifications:</b></p><p>✓ Required: Bachelor’s Degree (B.S./B.A.) or equivalent experience.</p><p>? Candidates must have 5-8 years of practical experience in solution sales and/or pre-sales. Azure knowledge is highly preferable.</p><p> </p><p><b>Matches 0 of the 1 additional qualifications:</b></p><p>? Preferred: MBA or master’s degree in IT, Communications, or Marketing, and formal training in project management. (No MBA or master's degree)</p>",INBOX
2-ZjhhMTZhMDktYTdhMi00Nzg2LWJkNzEtMGNmYWU4MDA2NTdmXzEwMA==,,,,,,2026-05-04 12:40:38 UTC,,Show match details,INBOX
2-ZmY4MDlmZmEtODYzMi00OGM1LTkxZTYtMTA4MWY1YzVkNzY1XzEwMA==,,,,,,2026-05-04 12:40:05 UTC,,"<h2><b>Job match is high</b> - <a href='https://www.linkedin.com/jobs/view/4382401064'>Full-Stack Developer - Data Management</a></h2><p>Your profile and resume seem to match well with the required qualifications. Based on my review of your information and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 13 of the 13 required qualifications:</b></p><p>✓ BS or Ms degree in Computer science Engineering, or related field.</p><p>✓ 3+ years of professional software development experience building full-stack applications.</p><p>✓ Proficiency in Object-Oriented Programming, design patterns and clean code principles, with a strong software craftsmanship mindset.</p><p>✓ Experience with refactoring, unit testing and integration testing.</p><p>✓ Solid experience developing backend services using languages such as GO, Java or Node.js.</p><p>✓ Good understanding of microservice architectures and scalable backend systems.</p><p>✓ Experience designing and implementing RESTful APIs.</p><p>✓ Experience with SQL and relational databases, including query optimization.</p><p>✓ Familiarity with NoSQL databases and distributed systems.</p><p>✓ Experience working with high-traffic, highly available production systems.</p><p>✓ Experience with containerization and cloud-native environments.</p><p>✓ Experience building and maintaining CI/CD pipelines.</p><p>✓ Working knowledge of modern frontend technologies such as JavaScript/TypeScript and React (or similar frameworks).</p><p> </p><p><b>Matches 1 of the 1 additional qualifications:</b></p><p>✓ Experience with data platforms, data pipelines, or analytical systems is a plus.</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Agile minded team player it's strong collaboration and communication skills.</p><p>• Eagerness for continuous learning and self-improvement.</p><p>• Strong analytical thinking, problem-solving, debugging and troubleshooting skills.</p><p>• Strong written and verbal English communication skills.</p>",INBOX
2-ZmY4MDlmZmEtODYzMi00OGM1LTkxZTYtMTA4MWY1YzVkNzY1XzEwMA==,,,,,,2026-05-04 12:40:04 UTC,,Show match details,INBOX
