Question,Answer
How many years of work experience do you have with Relational Databases?,10
How many years of work experience do you have with Swift (Programming Language)?,0
How many years of urn:li:industry:43 experience do you currently have?,2
How many years of work experience do you have with ASP.NET?,10
Cover letter,
How many years of work experience do you have with JSON?,10
How many years of work experience do you have with Oracle Database?,0
How many years of work experience do you have with SQL?,10
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with Visual C++?,0
Race/Ethnicity,Two or More Races (Not Hispanic or Latino)
How many years of work experience do you have with AngularJS?,1
Have you completed the following level of education: Bachelor's Degree?,No
How many years of work experience do you have with Microsoft SQL Server?,12
Description,
Major / Field of study,
How many years of work experience do you have with REST APIs?,10
How many years of work experience do you have with Windows?,15
How many years of work experience do you have with SaaS Development?,6
How many years of IT experience do you currently have?,15
How many years of work experience do you have with Dapper ORM?,8
How many years of work experience do you have with Vue.js?,1
How many years of work experience do you have with Umbraco?,4
Veteran status,NotProtectedVeteran
State / Province,
First name,
How many years of CNSL experience do you currently have?,4
How many years of work experience do you have with Tire Sales?,0
How many years of work experience do you have with PHP?,0
How many years of work experience do you have with HTML5?,10
How many years of work experience do you have with Rubber?,0
How many years of work experience do you have with ADO.NET?,5
How many years of work experience do you have with Cascading Style Sheets (CSS)?,10
How many years of work experience do you have with Linux?,2
How many years of work experience do you have with NoSQL?,0
How many years of work experience do you have with Operating Systems?,20
How many years of urn:li:industry:54 experience do you currently have?,0
How many years of work experience do you have with Node.js?,4
How many years of work experience do you have with C# in .NET?,12
How many years of work experience do you have with Redis?,0
How many years of work experience do you have with Object Oriented Design?,10
State,
Do you have a valid driver's license?,Yes
Are you comfortable working in a hybrid setting?,Yes
How many years of work experience do you have with Scala?,0
How many years of work experience do you have with React.js?,4
How many years of work experience do you have with Google Cloud Platform (GCP)?,0
Gender,Male
How many years of work experience do you have with .NET Framework?,12
Company,
How many years of work experience do you have with Laravel?,0
How many years of work experience do you have with Bootstrap (Framework)?,5
ZIP / Postal Code,
How many years of work experience do you have with ASP.NET Core?,15
How many years of work experience do you have with C#?,12
Last name,
How many years of work experience do you have with ASP.NET MVC?,12
How many years of work experience do you have with Webpack?,4
How many years of ENG experience do you currently have?,12
How many years of work experience do you have with Entity Framework?,12
Degree,
How many years of work experience do you have with Docker Products?,15
How many years of work experience do you have with Redux.js?,1
How many years of work experience do you have with SASS?,4
Are you legally authorized to work in TR?,Yes
Please submit a resume or LinkedIn profile,1018189111.docx
Are you legally authorized to work in GB?,No
How many years of work experience do you have with Windows Server?,6
Have you completed the following level of education: Master's Degree?,No
<strong>Disability</strong>,Yes
How many years of work experience do you have with MySQL?,1
How many years of work experience do you have with .NET in Azure?,1
How many years of urn:li:industry:4 experience do you currently have?,12
Your title,
Location (city),
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Android?,0
How many years of work experience do you have with PL/SQL?,3
How many years of work experience do you have with Unix?,5
How many years of work experience do you have with HTML?,10
How many years of work experience do you have with MongoDB?,1
How many years of work experience do you have with Microsoft Exchange?,2
How many years of work experience do you have with Windows Communication Foundation (WCF)?,5
