Question,Answer
What is your level of proficiency in eng?,Professional
How many years of work experience do you have with Language Integrated Query (LINQ)?,6
How many years of work experience do you have with Java?,0
How many years of work experience do you have with Spring Framework?,2
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of work experience do you have with Next.js?,4
How many years of work experience do you have with Django?,0
How many years of work experience do you have with Microsoft Dynamics 365?,1
How many years of work experience do you have with SAP Sales & Distribution?,2
Description,
How many years of work experience do you have with SOAP?,6
How many years of work experience do you have with C (Programming Language)?,6
Major / Field of study,
How many years of work experience do you have with Elasticsearch?,0
How many years of work experience do you have with Git?,6
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Jenkins?,0
How many years of work experience do you have with RESTful WebServices?,10
How many years of work experience do you have with Databases?,10
How many years of work experience do you have with Software Development?,12
How many years of work experience do you have with Angular?,5
How many years of work experience do you have with Amazon Web Services (AWS)?,1
First name,
How many years of work experience do you have with Visual Basic?,10
How many years of work experience do you have with PostgreSQL?,5
How many years of work experience do you have with Jira?,3
How many years of work experience do you have with Microsoft Azure?,4
How many years of urn:li:industry:96 experience do you currently have?,10
School,
Do you speak English?,Yes
City,
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Kotlin?,0
How many years of work experience do you have with Transact-SQL (T-SQL)?,10
Company,
Country,
How many years of work experience do you have with Microservices?,6
How many years of work experience do you have with Software Architecture?,12
Degree,
How many years of work experience do you have with Software as a Service (SaaS)?,8
How many years of work experience do you have with Representational State Transfer (REST)?,10
How many years of work experience do you have with Go (Programming Language)?,1
How many years of work experience do you have with Multithreaded Development?,10
How many years of work experience do you have with Python (Programming Language)?,10
How many years of work experience do you have with iOS?,0
How many years of work experience do you have with jQuery?,10
How many years of work experience do you have with Unit Testing?,1
Your title,
How many years of work experience do you have with C++?,0
Mobile phone number, +90 (541) 729-5700
Street address line 1,
Do you speak Turkish?,Yes
How many years of work experience do you have with JavaScript?,10
How many years of work experience do you have with Azure DevOps Services?,1
How many years of work experience do you have with .NET Core?,12
